Box #,Toy #,Quantity,Model Name,Variant,Brand,Origin,Extra,Year,Series,Col #,Body,Base Color/Type,Country,Wheel Type,Window Color,Interior Color,Tampo,Notes,✔ Synced,year,Front Image,Back Image
12,55001,5,'71 Plymouth,,Hot Wheels,2002,,2002,Mainline,116,Yellow,Chrome/Plastic,China,5SP,Tinted (Black),Black,Black hood tampo,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733863/hotwheels12/e1jwelb2sqqjfcyquzlg.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733864/hotwheels12/jlae1z5exegvglqmijvm.jpg
12,56033,3,Fandango,,Hot Wheels,2002,,2002,Blue Book,,Red,Black/Plastic,Malaysia,PR5,Clear,Gray,"Orange, Black, & White Hot Wheels Tampo & Hot Wheels logo in the back",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733917/hotwheels12/o1baor2ilpnybagpulx4.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733918/hotwheels12/zczkorvpusortl03xwye.jpg
12,55002,4,'67 Dodge Charger,,Hot Wheels,2002,,2002,Mainline,117,Pearl yellow metallic,Chrome/Plastic,Thailand,3sp,Tinted,Black,tribal flames on hood and sides,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733921/hotwheels12/vq7ptrhioho6zlo5z1wq.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733922/hotwheels12/bvnyjufueuxeedhjcjge.jpg
12,55085,3,Mini Cooper ,,Hot Wheels,2002,,2002,Mainline,200,Dark Green,ZAMAC,Malaysia,5SP,Blue tint,Green,"""Hot Wheels Collectors"" & Flames on side",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733952/hotwheels12/wdufgfxhohukmdltvkhp.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733953/hotwheels12/bu2nrnhkydgprdmbk04a.jpg
12,55085_a,1,Mini Cooper w/flames,Flames,Hot Wheels,2002,,2002,Mainline,200,Dark Green,ZAMAC,Malaysia,5SP,Blue tint,Green,"""Hot Wheels Collectors"" & Flames on side",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750734495/55085_a1_tzaxwt.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750734496/55085_a2_yd6tov.jpg
12,55058,8,'70 Plymouth Barracuda,,Hot Wheels,2002,,2002,Mainline,173,Red,Chrome/Plastic,Malaysia,5SP,Smoke tint,Red,Silver tampos,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733944/hotwheels12/anxmtsnrsps2vacpzs29.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733945/hotwheels12/cpt9zru1avaouvc3qzg2.jpg
12,55024,4,'67 Camaro,,Hot Wheels,2002,,2002,Mainline        ,139,Metalflake Dark Blue        ,Black/Metal,,3SP,,,,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733919/hotwheels12/fxv0tjmu3jgx3wtjnrrm.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733920/hotwheels12/yyvh3ikuuzuselywd8jw.jpg
12,55093,3,'59 Cadillac,,Hot Wheels,2002,,2002,2002 Hot Wheels,208/240,Matte black,Chrome/Plastic,Malaysia,LW,Blue tint,Gray,Blue flames,"Name on base ""1959 Eldorado""",✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733873/hotwheels12/wrklc9dqxwxj8dptvb2s.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733874/hotwheels12/w7zwvnfyedndi49deker.jpg
12,55100,3,'68 Cougar,,Hot Wheels,2002,,2002,Mainline,215,Metalflake Ice Blue,Chrome/Plastic,Malaysia,5SP,Clear,Black,"Black roof with, Black Hot Wheels logo on rear quarter panel",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733950/hotwheels12/gorv9ij04i0chrbgi6uz.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733951/hotwheels12/yqgqihsj8et7hkv0ju40.jpg
12,55096,4,Super Modified,,Hot Wheels,2002,,2002,Mainline,211,Metalflake Blue,ZAMAC,Malaysia,LW,,Gray,"Silver, Red, White, & Black tampos w/ '10' & race team deco",Grey wing,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733905/hotwheels12/ksj603jaqpqtpjdrhg2f.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733906/hotwheels12/eh6z1uf8gnihwnp7a4pa.jpg
12,55092,6,Baja Bug,,Hot Wheels,2002,,2002,Mainline,207/240,Black,Unpainted/Metal,Malaysia,Red 5SP,,Red,"Orange, Yellow flaming on side. ""22"" Number on side",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733913/hotwheels12/dia3gutiquf40hooskzy.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733914/hotwheels12/dlnaluqqzhlaxu7olr9s.jpg
12,55067,3,Morris Wagon,,Hot Wheels,2002,,2002,Mainline,182,Metalflake Green,Unpainted/Metal,China,5SP,Clear,Chrome,None,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733902/hotwheels12/fi2tyezscw3bxpspn1p3.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733903/hotwheels12/e4perwdd8fhr70cvlmh5.jpg
12,55070,2,'40s Woodie,,Hot Wheels,2002,,2002,Mainline 71/126,185/240,Black,Unpainted/Metal,Malaysia,LW,Clear,Black,"""CALIFORNIA CLASSICS""",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733931/hotwheels12/f19lxc1i0yptwascg4dz.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733933/hotwheels12/re5nwsqhhii1c3og1svf.jpg
12,55018,4,Fright Bike,,Hot Wheels,2002,,2002,Mainline,133,Clear Red,ZAMAC,Malaysia,Chrome rimMC3,Black,,No tampos,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733856/hotwheels12/brsgridwcx1rywccj8pq.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733857/hotwheels12/dwhagr4z8x1uj1s8gj2e.jpg
12,55081,2,Lamborghini Countach,,Hot Wheels,2002,,2002,Mainline,196/243,Metalflake Dark Orange,Black/Plastic,Malaysia,5SP,Clear,Black,"Silver & Gold Hot Wheels Logo, 'Lamborghini' & '1' on side",,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733978/hotwheels12/vr0njxbdpawqr8zwayps.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733979/hotwheels12/fijv3nwpyanrgbq3uhvy.jpg
12,54449,2,Hiway Hauler,,Hot Wheels,2002,,2002,Mainline,236,Metalflake Black        ,,,Gold 5SP        ,,,,,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733854/hotwheels12/pgu8zqgatyycpg4mpptq.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733855/hotwheels12/phcf40lfxvwdui1ky4wh.jpg
12,55060,3,Auburn 852,,Hot Wheels,2002,,2002,2002 Hot Wheels 61/126,175/240,Silver,ZAMAC,Malaysia,LW,Clear,Burgundy,Burgundy painting on hood & trunk,Red plastic fenders,✔ Synced,,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733940/hotwheels12/mzpu9q8cg9gu8sm7t762.jpg,https://res.cloudinary.com/dxsjldmyd/image/upload/v1750733941/hotwheels12/iredrtzcxex1h5udjicf.jpg
